file,lat,lon,rr,year,month,day,hour,minute,second
polPhs_PAZ1.2018.153.23.15.G15_2010.2640_V05.nc,15.82,-95.38,0.26,2018,6,2,23,15,22
polPhs_PAZ1.2018.153.07.37.G27_2010.2640_V05.nc,62.34,178.25,1.15,2018,6,2,7,37,33
polPhs_PAZ1.2018.153.13.51.G10_2010.2640_V05.nc,38.45,36.34,0.75,2018,6,2,13,51,57
polPhs_PAZ1.2018.153.11.21.G29_2010.2640_V05.nc,-14.77,-65.80,0.20,2018,6,2,11,21,38
polPhs_PAZ1.2018.153.11.30.G03_2010.2640_V05.nc,-39.62,-108.84,0.18,2018,6,2,11,30,25
polPhs_PAZ1.2018.153.08.20.G12_2010.2640_V05.nc,-35.98,-35.16,0.19,2018,6,2,8,19,55
polPhs_PAZ1.2018.153.03.43.G28_2010.2640_V05.nc,-62.16,18.35,1.02,2018,6,2,3,42,49
polPhs_PAZ1.2018.153.00.18.G31_2010.2640_V05.nc,-14.09,97.77,3.84,2018,6,2,0,18,2
polPhs_PAZ1.2018.153.20.34.G06_2010.2640_V05.nc,39.10,171.69,0.76,2018,6,2,20,34,40
polPhs_PAZ1.2018.153.06.21.G01_2010.2640_V05.nc,46.44,20.67,0.18,2018,6,2,6,21,10
polPhs_PAZ1.2018.153.18.38.G16_2010.2640_V05.nc,40.94,-11.38,0.61,2018,6,2,18,37,42
polPhs_PAZ1.2018.153.02.38.G14_2010.2640_V05.nc,7.78,-148.18,0.37,2018,6,2,2,38,43
polPhs_PAZ1.2018.153.13.43.G19_2010.2640_V05.nc,12.64,78.95,0.16,2018,6,2,13,43,26
polPhs_PAZ1.2018.153.08.59.G05_2010.2640_V05.nc,11.43,116.55,0.14,2018,6,2,8,58,59
polPhs_PAZ1.2018.153.08.07.G19_2010.2640_V05.nc,2.81,-17.22,0.79,2018,6,2,8,7,35
polPhs_PAZ1.2018.153.16.56.G03_2010.2640_V05.nc,20.92,-4.50,0.16,2018,6,2,16,56,8
polPhs_PAZ1.2018.153.02.56.G10_2010.2640_V05.nc,63.60,-172.77,0.16,2018,6,2,2,55,59
polPhs_PAZ1.2018.153.17.42.G28_2010.2640_V05.nc,-11.27,-168.55,0.14,2018,6,2,17,41,56
polPhs_PAZ1.2018.153.11.38.G16_2010.2640_V05.nc,-65.68,-105.98,1.46,2018,6,2,11,38,21
polPhs_PAZ1.2018.154.08.29.G26_2010.2640_V05.nc,-37.79,163.63,0.30,2018,6,3,8,29,10
polPhs_PAZ1.2018.154.10.03.G21_2010.2640_V05.nc,-44.42,110.23,0.19,2018,6,3,10,3,9
polPhs_PAZ1.2018.154.06.55.G29_2010.2640_V05.nc,-37.73,178.38,4.70,2018,6,3,6,55,37
polPhs_PAZ1.2018.154.17.27.G15_2010.2640_V05.nc,-20.52,172.86,0.37,2018,6,3,17,27,19
polPhs_PAZ1.2018.154.02.37.G10_2010.2640_V05.nc,58.41,-165.07,0.25,2018,6,3,2,37,38
polPhs_PAZ1.2018.154.08.38.G05_2010.2640_V05.nc,-0.76,123.85,1.54,2018,6,3,8,38,28
polPhs_PAZ1.2018.154.19.05.G19_2010.2640_V05.nc,-41.74,-179.04,2.38,2018,6,3,19,5,28
polPhs_PAZ1.2018.154.03.27.G28_2010.2640_V05.nc,-66.70,14.72,0.24,2018,6,3,3,27,0
polPhs_PAZ1.2018.154.00.07.G26_2010.2640_V05.nc,-30.81,89.29,0.16,2018,6,3,0,7,1
polPhs_PAZ1.2018.154.00.01.G31_2010.2640_V05.nc,-15.40,99.75,1.12,2018,6,3,0,1,45
polPhs_PAZ1.2018.154.01.04.G12_2010.2640_V05.nc,65.46,-128.61,0.16,2018,6,3,1,4,14
polPhs_PAZ1.2018.154.15.12.G31_2010.2640_V05.nc,46.65,7.36,0.63,2018,6,3,15,12,4
polPhs_PAZ1.2018.154.21.35.G09_2010.2640_V05.nc,64.12,-41.27,0.94,2018,6,3,21,35,11
polPhs_PAZ1.2018.154.20.18.G22_2010.2640_V05.nc,51.05,137.55,0.18,2018,6,3,20,18,7
polPhs_PAZ1.2018.154.22.14.G31_2010.2640_V05.nc,-26.51,104.80,0.30,2018,6,3,22,14,6
polPhs_PAZ1.2018.154.10.32.G05_2010.2640_V05.nc,60.07,73.65,0.13,2018,6,3,10,31,49
polPhs_PAZ1.2018.155.08.07.G29_2010.2640_V05.nc,-63.13,149.54,1.99,2018,6,4,8,6,48
polPhs_PAZ1.2018.155.14.09.G23_2010.2640_V05.nc,-55.20,-117.37,0.40,2018,6,4,14,9,17
polPhs_PAZ1.2018.155.20.10.G19_2010.2640_V05.nc,8.73,161.58,1.44,2018,6,4,20,10,39
polPhs_PAZ1.2018.155.00.39.G15_2010.2640_V05.nc,38.50,-106.85,0.67,2018,6,4,0,39,38
polPhs_PAZ1.2018.155.00.56.G25_2010.2640_V05.nc,67.76,124.51,0.24,2018,6,4,0,56,19
polPhs_PAZ1.2018.155.01.21.G16_2010.2640_V05.nc,-18.97,74.55,0.15,2018,6,4,1,21,13
polPhs_PAZ1.2018.155.10.58.G22_2010.2640_V05.nc,-49.67,-108.84,0.27,2018,6,4,10,58,32
polPhs_PAZ1.2018.155.06.39.G29_2010.2640_V05.nc,-32.25,-176.88,0.19,2018,6,4,6,39,33
polPhs_PAZ1.2018.155.10.44.G25_2010.2640_V05.nc,0.54,-61.56,0.23,2018,6,4,10,44,43
polPhs_PAZ1.2018.155.09.13.G24_2010.2640_V05.nc,-20.21,-32.36,0.23,2018,6,4,9,13,34
polPhs_PAZ1.2018.155.01.31.G27_2010.2640_V05.nc,-62.37,89.47,0.15,2018,6,4,1,31,9
polPhs_PAZ1.2018.155.22.00.G32_2010.2640_V05.nc,-42.74,117.73,2.12,2018,6,4,22,0,37
polPhs_PAZ1.2018.155.23.38.G14_2010.2640_V05.nc,-58.33,105.99,0.12,2018,6,4,23,39,0
polPhs_PAZ1.2018.155.05.18.G31_2010.2640_V05.nc,18.25,-167.52,0.14,2018,6,4,5,18,17
polPhs_PAZ1.2018.155.09.57.G08_2010.2640_V05.nc,4.14,134.23,0.21,2018,6,4,9,57,35
polPhs_PAZ1.2018.155.05.42.G27_2010.2640_V05.nc,70.16,2.39,0.11,2018,6,4,5,42,29
polPhs_PAZ1.2018.155.11.36.G28_2010.2640_V05.nc,12.19,102.46,0.12,2018,6,4,11,35,51
polPhs_PAZ1.2018.155.23.18.G25_2010.2640_V05.nc,18.34,114.51,0.66,2018,6,4,23,18,23
polPhs_PAZ1.2018.155.13.21.G15_2010.2640_V05.nc,52.96,70.16,0.59,2018,6,4,13,21,26
polPhs_PAZ1.2018.156.15.00.G21_2010.2640_V05.nc,49.53,-127.31,0.29,2018,6,5,14,59,47
